+0.0000000000e+00 +1.0000000000e+00
+1.0101010101e-02 +9.9000000000e-01
+2.0202020202e-02 +9.8010000000e-01
+3.0303030303e-02 +9.7029900000e-01
+4.0404040404e-02 +9.6059601000e-01
+5.0505050505e-02 +9.5099004990e-01
+6.0606060606e-02 +9.4148014940e-01
+7.0707070707e-02 +9.3206534791e-01
+8.0808080808e-02 +9.2274469443e-01
+9.0909090909e-02 +9.1351724748e-01
+1.0101010101e-01 +9.0438207501e-01
+1.1111111111e-01 +8.9533825426e-01
+1.2121212121e-01 +8.8638487172e-01
+1.3131313131e-01 +8.7752102300e-01
+1.4141414141e-01 +8.6874581277e-01
+1.5151515152e-01 +8.6005835464e-01
+1.6161616162e-01 +8.5145777109e-01
+1.7171717172e-01 +8.4294319338e-01
+1.8181818182e-01 +8.3451376145e-01
+1.9191919192e-01 +8.2616862384e-01
+2.0202020202e-01 +8.1790693760e-01
+2.1212121212e-01 +8.0972786822e-01
+2.2222222222e-01 +8.0163058954e-01
+2.3232323232e-01 +7.9361428364e-01
+2.4242424242e-01 +7.8567814081e-01
+2.5252525253e-01 +7.7782135940e-01
+2.6262626263e-01 +7.7004314581e-01
+2.7272727273e-01 +7.6234271435e-01
+2.8282828283e-01 +7.5471928720e-01
+2.9292929293e-01 +7.4717209433e-01
+3.0303030303e-01 +7.3970037339e-01
+3.1313131313e-01 +7.3230336965e-01
+3.2323232323e-01 +7.2498033596e-01
+3.3333333333e-01 +7.1773053260e-01
+3.4343434343e-01 +7.1055322727e-01
+3.5353535354e-01 +7.0344769500e-01
+3.6363636364e-01 +6.9641321805e-01
+3.7373737374e-01 +6.8944908587e-01
+3.8383838384e-01 +6.8255459501e-01
+3.9393939394e-01 +6.7572904906e-01
+4.0404040404e-01 +6.6897175857e-01
+4.1414141414e-01 +6.6228204098e-01
+4.2424242424e-01 +6.5565922057e-01
+4.3434343434e-01 +6.4910262837e-01
+4.4444444444e-01 +6.4261160208e-01
+4.5454545455e-01 +6.3618548606e-01
+4.6464646465e-01 +6.2982363120e-01
+4.7474747475e-01 +6.2352539489e-01
+4.8484848485e-01 +6.1729014094e-01
+4.9494949495e-01 +6.1111723953e-01
+5.0505050505e-01 +6.0500606714e-01
+5.1515151515e-01 +5.9895600647e-01
+5.2525252525e-01 +5.9296644640e-01
+5.3535353535e-01 +5.8703678194e-01
+5.4545454545e-01 +5.8116641412e-01
+5.5555555556e-01 +5.7535474998e-01
+5.6565656566e-01 +5.6960120248e-01
+5.7575757576e-01 +5.6390519045e-01
+5.8585858586e-01 +5.5826613855e-01
+5.9595959596e-01 +5.5268347716e-01
+6.0606060606e-01 +5.4715664239e-01
+6.1616161616e-01 +5.4168507597e-01
+6.2626262626e-01 +5.3626822521e-01
+6.3636363636e-01 +5.3090554296e-01
+6.4646464646e-01 +5.2559648753e-01
+6.5656565657e-01 +5.2034052265e-01
+6.6666666667e-01 +5.1513711742e-01
+6.7676767677e-01 +5.0998574625e-01
+6.8686868687e-01 +5.0488588879e-01
+6.9696969697e-01 +4.9983702990e-01
+7.0707070707e-01 +4.9483865960e-01
+7.1717171717e-01 +4.8989027300e-01
+7.2727272727e-01 +4.8499137027e-01
+7.3737373737e-01 +4.8014145657e-01
+7.4747474747e-01 +4.7534004201e-01
+7.5757575758e-01 +4.7058664159e-01
+7.6767676768e-01 +4.6588077517e-01
+7.7777777778e-01 +4.6122196742e-01
+7.8787878788e-01 +4.5660974774e-01
+7.9797979798e-01 +4.5204365027e-01
+8.0808080808e-01 +4.4752321376e-01
+8.1818181818e-01 +4.4304798163e-01
+8.2828282828e-01 +4.3861750181e-01
+8.3838383838e-01 +4.3423132679e-01
+8.4848484848e-01 +4.2988901352e-01
+8.5858585859e-01 +4.2559012339e-01
+8.6868686869e-01 +4.2133422215e-01
+8.7878787879e-01 +4.1712087993e-01
+8.8888888889e-01 +4.1294967113e-01
+8.9898989899e-01 +4.0882017442e-01
+9.0909090909e-01 +4.0473197268e-01
+9.1919191919e-01 +4.0068465295e-01
+9.2929292929e-01 +3.9667780642e-01
+9.3939393939e-01 +3.9271102836e-01
+9.4949494949e-01 +3.8878391807e-01
+9.5959595960e-01 +3.8489607889e-01
+9.6969696970e-01 +3.8104711810e-01
+9.7979797980e-01 +3.7723664692e-01
+9.8989898990e-01 +3.7346428045e-01
+1.0000000000e+00 +3.6972963765e-01
